instance,ited,sized,td,tr,obj,time
h200C1_2_2.csv,20,10,5529.838267,0,0.0558986716408652,102.8140645
h200C1_2_2.csv,20,20,5159.693716,0,0.05215704526465124,153.256263
h200C1_2_2.csv,20,20,4721.859487,0,0.04773117408753994,152.7121341
h200C1_2_2.csv,20,20,4878.261659,0,0.04931217397115663,150.2173162
h200C1_2_2.csv,20,30,4350.216734,0,0.04397440305471831,199.0008411
h200C1_2_2.csv,20,30,4501.935961,0,0.045508065133461145,203.9417236
h200C1_2_2.csv,20,30,4326.74944,0,0.04373718263374616,199.495527
h200C1_2_2.csv,30,5,4813.635677,0,0.04865889870832579,111.7694395
h200C1_2_2.csv,30,5,5414.671932,0,0.05473450646398031,114.508076
h200C1_2_2.csv,30,5,4860.643839,0,0.04913408327706078,94.94790268
h200C1_2_2.csv,30,10,4571.989405,1,0.048703766380910465,144.4739997
h200C1_2_2.csv,30,10,4865.159996,2,0.05415485947445184,151.4100573
h200C1_2_2.csv,30,10,5052.893626,0,0.051077450731525115,131.045511
h200C1_2_2.csv,30,20,4980.154005,0,0.05034215830646006,228.6679909
h200C1_2_2.csv,30,20,5146.17677,0,0.05202040847898785,227.8857224
h200C1_2_2.csv,30,20,4990.26306,1,0.05293190842918667,239.3812761
h200C1_2_2.csv,30,30,4788.836489,0,0.04840821476423205,304.0933766
h200C1_2_2.csv,30,30,4505.028114,0,0.04553932233066378,296.5146306
h200C1_2_2.csv,30,30,5314.645702,0,0.053723385864014365,298.658247
h200C2_2_1.csv,5,5,4115.19486899791,0,0.04475689409352019,49.4652042388916
h200C2_2_1.csv,5,5,4138.22278179555,0,0.04500734586727296,49.7351307868957
h200C2_2_1.csv,5,5,4255.5434401436,0,0.046283326336684937,49.4398624897003
h200C2_2_1.csv,5,10,4221.35346169567,0,0.04591147584280387,67.5761795043945
h200C2_2_1.csv,5,10,4211.18841024932,0,0.045800920657564186,67.0154690742492
h200C2_2_1.csv,5,10,4193.55806287713,0,0.04560917285088954,67.599394083023
