file_name,seed,td,rd
h100r108.csv,9,1024.853,0
h100r108.csv,10,865.857,0
h100r109.csv,1,1028.056,0
h100r109.csv,2,1016.801,0
h100r109.csv,3,928.599,0
h100r109.csv,4,1043.3,0
h100r109.csv,5,1098.043,0
h100r109.csv,6,1027.096,0
h100r109.csv,7,969.617,0
h100r109.csv,8,1124.958,0
h100r109.csv,9,1032.099,0
h100r109.csv,10,1002.311,0
h100r110.csv,1,991.433,0
h100r110.csv,2,952.397,0
h100r110.csv,3,1007.771,0
h100r110.csv,4,928.771,0
h100r110.csv,5,945.207,0
h100r110.csv,6,881.249,0
h100r110.csv,7,1032.505,0
h100r110.csv,8,1091.377,0
h100r110.csv,9,967.349,0
h100r110.csv,10,1035,0
h100r111.csv,1,950.812,0
h100r111.csv,2,1088.362,0
h100r111.csv,3,1080.015,0
h100r111.csv,4,1136.932,0
h100r111.csv,5,987.897,0
h100r111.csv,6,1152.842,0
h100r111.csv,7,1098.347,0
h100r111.csv,8,1106.622,0
h100r111.csv,9,1015.865,0
h100r111.csv,10,1210.09,0
h100r112.csv,1,931.491,0
h100r112.csv,2,843.625,0
h100r112.csv,3,878,0
h100r112.csv,4,913.8,0
h100r112.csv,5,913.612,0
h100r112.csv,6,905.579,0
h100r112.csv,7,899.265,0
h100r112.csv,8,939.662,0
h100r112.csv,9,943.249,0
h100r112.csv,10,865.096,0
h100r201.csv,1,1477.038,0
h100r201.csv,2,1434.405,0
h100r201.csv,3,1591.644,0
h100r201.csv,4,1448.324,0
h100r201.csv,5,1495.545,0
h100r201.csv,6,1409.281,0
h100r201.csv,7,1572.229,0
h100r201.csv,8,1387.59,0
h100r201.csv,9,1412.396,0
h100r201.csv,10,1293.039,0
h100r202.csv,1,1266.91,0
h100r202.csv,2,1376.205,0
h100r202.csv,3,1387.433,0
h100r202.csv,4,1575.95,0
h100r202.csv,5,1430.435,0
h100r202.csv,6,1282.713,0
h100r202.csv,7,1279.377,0
h100r202.csv,8,1309.644,0
h100r202.csv,9,1307.359,0
h100r202.csv,10,1333.487,0
h100r203.csv,1,1111.979,0
h100r203.csv,2,1135.183,0
h100r203.csv,3,1233.658,0
h100r203.csv,4,1293.099,0
h100r203.csv,5,1199.105,0
h100r203.csv,6,1133.96,0
h100r203.csv,7,1364.474,0
h100r203.csv,8,1177.73,0
h100r203.csv,9,1110.205,0
h100r203.csv,10,1264.004,0
h100r204.csv,1,998.094,0
h100r204.csv,2,915.724,0
h100r204.csv,3,1008.159,0
h100r204.csv,4,907.776,0
h100r204.csv,5,875.714,0
h100r204.csv,6,849.495,0
h100r204.csv,7,834.818,0
h100r204.csv,8,921.803,0
h100r204.csv,9,875.73,0
h100r204.csv,10,876.466,0
h100r205.csv,1,1410.501,0
h100r205.csv,2,1359.375,0
h100r205.csv,3,1332.115,0
h100r205.csv,4,1291.553,0
h100r205.csv,5,1157.395,0
h100r205.csv,6,1236.671,0
h100r205.csv,7,1252.855,0
h100r205.csv,8,1445.168,0
h100r205.csv,9,1275.795,0
h100r205.csv,10,1215.243,0
h100r206.csv,1,1229.527,0
h100r206.csv,2,1100.441,0
h100r206.csv,3,1094.868,0
h100r206.csv,4,1186.718,0
h100r206.csv,5,1312.307,0
h100r206.csv,6,1163.204,0
h100r206.csv,7,1594.952,0
h100r206.csv,8,1231.138,0
h100r206.csv,9,1297.247,0
h100r206.csv,10,1201.349,0
h100r207.csv,1,1145.43,0
h100r207.csv,2,1137.125,0
h100r207.csv,3,1134.812,0
h100r207.csv,4,1086.349,0
h100r207.csv,5,1059.487,0
h100r207.csv,6,1124.28,0
h100r207.csv,7,1200.944,0
h100r207.csv,8,1190.102,0
h100r207.csv,9,1066.371,0
h100r207.csv,10,1121.719,0
h100r208.csv,1,951.683,0
h100r208.csv,2,896.176,0
h100r208.csv,3,907.482,0
h100r208.csv,4,1004.643,0
h100r208.csv,5,989.892,0
h100r208.csv,6,924.826,0
h100r208.csv,7,923.121,0
h100r208.csv,8,896.157,0
h100r208.csv,9,923.609,0
h100r208.csv,10,861.494,0
h100r209.csv,1,1388.817,0
h100r209.csv,2,1297.177,0
h100r209.csv,3,1129.227,0
h100r209.csv,4,1351.606,0
h100r209.csv,5,1135.808,0
h100r209.csv,6,1348.629,0
h100r209.csv,7,1347.252,0
h100r209.csv,8,1126.171,0
h100r209.csv,9,1107.215,0
h100r209.csv,10,1388.092,0
h100r210.csv,1,1250.08,0
h100r210.csv,2,1409.471,0
h100r210.csv,3,1348.296,0
h100r210.csv,4,1410.359,0
h100r210.csv,5,1262.545,0
h100r210.csv,6,1363.086,0
h100r210.csv,7,1277.623,0
h100r210.csv,8,1397.248,0
h100r210.csv,9,1435.882,0
h100r210.csv,10,1163.879,0
h100r211.csv,1,1018.71,0
h100r211.csv,2,1090.621,0
h100r211.csv,3,1016.307,0
h100r211.csv,4,1050.311,0
h100r211.csv,5,1016.307,0
h100r211.csv,6,1035.972,0
h100r211.csv,7,1234.372,0
h100r211.csv,8,1016.307,0
h100r211.csv,9,1118.163,0
h100r211.csv,10,1336.547,0
h100rc101.csv,1,1611.08044,0
h100rc101.csv,2,1539.936605,0
h100rc101.csv,3,1826.846821,0
h100rc101.csv,4,1655.018502,0
h100rc101.csv,5,1807.218961,0
h100rc101.csv,6,1903.83148,0
h100rc101.csv,7,1591.15668,0
h100rc101.csv,8,1712.53235,0
h100rc101.csv,9,1537.881038,0
h100rc101.csv,10,1778.866565,0
h100rc102.csv,1,1364.536419,0
h100rc102.csv,2,1717.406797,0
h100rc102.csv,3,1582.847485,0
h100rc102.csv,4,1684.56576,0
h100rc102.csv,5,1572.320617,0
h100rc102.csv,6,1760.711525,0
h100rc102.csv,7,1529.247811,0
h100rc102.csv,8,1313.627485,0
h100rc102.csv,9,1792.95289,0
h100rc102.csv,10,1494.777368,0
h100rc103.csv,1,1511.159661,0
h100rc103.csv,2,1377.499696,0
h100rc103.csv,3,1383.036343,0
h100rc103.csv,4,1293.408044,0
h100rc103.csv,5,1517.466105,0
h100rc103.csv,6,1462.11186,0
h100rc103.csv,7,1344.078676,0
h100rc103.csv,8,1351.810242,0
h100rc103.csv,9,1328.933352,0
h100rc103.csv,10,1295.380219,0
h100rc104.csv,1,999.9200026,0
h100rc104.csv,2,1107.632851,0
h100rc104.csv,3,933.5573467,0
h100rc104.csv,4,988.9634141,0
h100rc104.csv,5,1010.056261,0
h100rc104.csv,6,945.0289018,0
h100rc104.csv,7,1087.811777,0
h100rc104.csv,8,933.2536592,0
h100rc104.csv,9,1038.982964,0
h100rc104.csv,10,1014.579686,0
h100rc105.csv,1,1527.038847,0
h100rc105.csv,2,1559.710381,0
h100rc105.csv,3,1581.277764,0
h100rc105.csv,4,1379.419917,0
h100rc105.csv,5,1496.484769,0
h100rc105.csv,6,1574.287882,0
h100rc105.csv,7,1505.774923,0
h100rc105.csv,8,1465.331971,0
h100rc105.csv,9,1384.067151,0
h100rc105.csv,10,1471.339373,0
h100rc106.csv,1,1412.314853,0
h100rc106.csv,2,1693.937855,0
h100rc106.csv,3,1556.935336,0
h100rc106.csv,4,1598.345737,0
h100rc106.csv,5,1585.531074,0
h100rc106.csv,6,1672.848719,0
h100rc106.csv,7,1438.502552,0
h100rc106.csv,8,1545.504238,0
h100rc106.csv,9,1402.820563,0
h100rc106.csv,10,1428.589712,0
h100rc107.csv,1,1182.719992,0
h100rc107.csv,2,1152.405798,0
h100rc107.csv,3,1367.8099,0
h100rc107.csv,4,1330.74597,0
h100rc107.csv,5,1304.860263,0
h100rc107.csv,6,1354.025864,0
h100rc107.csv,7,1139.213201,0
h100rc107.csv,8,1439.911671,0
h100rc107.csv,9,1464.656301,0
h100rc107.csv,10,1306.78242,0
h100rc108.csv,1,995.6584824,0
h100rc108.csv,2,1017.681217,0
h100rc108.csv,3,1071.754894,0
h100rc108.csv,4,958.9499625,0
h100rc108.csv,5,1013.922482,0
h100rc108.csv,6,970.1287105,0
h100rc108.csv,7,1192.022502,0
h100rc108.csv,8,1088.722824,0
h100rc108.csv,9,1233.380182,0
h100rc108.csv,10,1076.120729,0
h100rc201.csv,1,1792.469643,0
h100rc201.csv,2,2024.383983,0
h100rc201.csv,3,1718.348203,0
h100rc201.csv,4,1886.352849,0
h100rc201.csv,5,1888.910547,0
h100rc201.csv,6,2069.734208,0
h100rc201.csv,7,1558.880426,0
h100rc201.csv,8,1961.444414,0
h100rc201.csv,9,2046.336646,0
h100rc201.csv,10,2103.431649,0
h100rc202.csv,1,1690.831055,0
h100rc202.csv,2,1598.4303,0
h100rc202.csv,3,1719.819576,0
h100rc202.csv,4,1719.662191,0
h100rc202.csv,5,1787.777741,0
h100rc202.csv,6,1844.269976,0
h100rc202.csv,7,1769.883898,0
h100rc202.csv,8,1684.810263,0
h100rc202.csv,9,1893.950785,0
h100rc202.csv,10,1849.225002,0
h100rc203.csv,1,1439.118615,0
h100rc203.csv,2,1361.319748,0
h100rc203.csv,3,1512.868403,0
h100rc203.csv,4,1354.661165,0
h100rc203.csv,5,1473.434805,0
h100rc203.csv,6,1452.523077,0
h100rc203.csv,7,1553.476857,0
h100rc203.csv,8,1599.389004,0
h100rc203.csv,9,1411.48668,0
h100rc203.csv,10,1506.619414,0
h100rc204.csv,1,1012.43691,0
h100rc204.csv,2,1149.998242,0
h100rc204.csv,3,1153.129966,0
h100rc204.csv,4,1069.05267,0
h100rc204.csv,5,1606.857252,0
h100rc204.csv,6,1149.656579,0
h100rc204.csv,7,1217.355982,0
h100rc204.csv,8,1104.207916,0
h100rc204.csv,9,1060.199684,0
h100rc204.csv,10,1163.94556,0
h100rc205.csv,1,1911.694682,0
h100rc205.csv,2,2037.977451,0
h100rc205.csv,3,1923.033932,0
h100rc205.csv,4,2040.113303,0
h100rc205.csv,5,1826.08692,0
h100rc205.csv,6,2117.846136,0
h100rc205.csv,7,1993.824696,0
h100rc205.csv,8,2071.783747,0
h100rc205.csv,9,1879.181841,0
h100rc205.csv,10,2292.934115,0
h100rc206.csv,1,1471.00283,0
h100rc206.csv,2,1821.549179,0
h100rc206.csv,3,1874.539526,0
h100rc206.csv,4,1651.920004,0
h100rc206.csv,5,1943.158912,0
